"","书名","作者","出版社","出版日期","评分"
"67","安徒生童话故事集","（丹麦）安徒生 "," 人民文学出版社 "," 1997-08 ","9.2"
"68","红玫瑰与白玫瑰","张爱玲 "," 花城出版社 "," 1996-06 ","8.4"
"69","巨人的陨落","[英] 肯·福莱特 "," 江苏凤凰文艺出版社 "," 2016-5-1 ","8.9"
"70","鬼吹灯之精绝古城","天下霸唱 "," 安徽文艺出版社 "," 2006 ","8.1"
"71","城南旧事","林海音 文 "," 中国青年出版社 "," 2003-7 ","9.0"
"72","我不喜欢这世界，我只喜欢你","乔一 "," 湖南少年儿童出版社 "," 2015-5-1 ","8.0"
"73","这些都是你给我的爱","文：安东尼 "," 长江文艺出版社 "," 2010-3 ","8.4"
"74","华胥引（全二册）","唐七公子 "," 现代出版社 "," 2011-1 ","8.4"
"75","阿Q正传","鲁迅 著 "," 上海书店出版社 "," 2003-7 ","8.7"
"76","半生缘","张爱玲 "," 北京十月文艺出版社 "," 2006-12 ","8.6"
"77","这些人，那些事","吴念真 "," 译林出版社 "," 2011-9 ","8.8"
"78","陪安东尼度过漫长岁月","安东尼 "," 长江文艺出版社 "," 2008-3 ","8.3"
"79","喜宝","亦舒 "," 新世界出版社 "," 2007-2 ","8.0"
"80","梦里花落知多少","三毛 "," 北京十月文艺出版社 "," 2007-6 ","8.8"
"81","射雕英雄传（全四册）","金庸 "," 生活·读书·新知三联书店 "," 1999-04 ","8.9"
"82","一只特立独行的猪","王小波 "," 北方文艺出版社 "," 2006-4 ","8.8"
"83","一个人的朝圣","【英】蕾秋·乔伊斯 "," 北京联合出版公司 "," 2013-9-1 ","8.1"
"84","如何阅读一本书","[美] 莫提默·J. 艾德勒 "," 商务印书馆 "," 2004-1 ","8.4"
"85","朝花夕拾","鲁迅 "," 人民文学出版社 "," 1972年4月 ","8.7"
"86","格林童话全集","[德国]格林兄弟 "," 人民文学出版社 "," 1994-11 ","9.0"
"87","孩子你慢慢来","龙应台 "," 生活·读书·新知三联书店 "," 2009-12-1 ","8.8"
"88","地下铁","幾米 "," 辽宁教育出版社 "," 2002-2 ","8.3"
"89","杀死一只知更鸟","[美] 哈珀·李 "," 译林出版社 "," 2012-9 ","9.2"
"90","麦琪的礼物","[美] 欧·亨利 "," 上海社会科学院出版社 "," 2003-7 ","8.6"
